model,macro_f1,accuracy
Metadata-only,0.2540857505003976,0.2517758484609313
TFIDF(word 1-2) + LogReg,0.24175451806677814,0.2430939226519337
TFIDF(char 3-6) + LinearSVC,0.23828946106759083,0.2462509865824783
TFIDF(word 1-2 + char 3-6) + SGD(hinge),0.2362221571667434,0.2494080505130229
